name,image,property,variation,scale,rating,attempt
Chris,im6,sat,0.75,grades,4,0
,,,,,,
Chris,im6,sat,1,grades,2,0
,,,,,,
Chris,im6,sat,1.4,1_50,49,0
,,,,,,
Chris,im6,sat,1.2,1_50,50,0
,,,,,,
Chris,im6,sat,1.6,1_50,48,0
,,,,,,
Chris,im6,sat,0.9,1_50,32,0
,,,,,,
Chris,im6,sat,0.75,1_50,23,0
,,,,,,
Chris,im6,sat,1,1_50,42,0
